accession,disposition,mhc_class,chain,label_status,evidence,source_version,source_url,audited_on
A0A8C0ATM5,include,II,beta,curated,PTHR19944:SF65;cd21002,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C0ATM5?format=txt&versions=18,2026-09-02
A0A8C3JZV9,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 21; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C3JZV9?format=txt&versions=21,2026-09-02
A0A8C3K614,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 21; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C3K614?format=txt&versions=21,2026-09-02
A0A8C3NGD4,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 21; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C3NGD4?format=txt&versions=21,2026-09-02
A0A8C3QC69,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 21; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C3QC69?format=txt&versions=21,2026-09-02
A0A8C3ULT5,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C3ULT5?format=txt&versions=18,2026-09-02
A0A8C3UPK0,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C3UPK0?format=txt&versions=18,2026-09-02
A0A8C3URK9,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 20; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C3URK9?format=txt&versions=20,2026-09-02
A0A8C9NLN9,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 20; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C9NLN9?format=txt&versions=20,2026-09-02
A0A8C9UGR9,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 20; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C9UGR9?format=txt&versions=20,2026-09-02
A0A8D0EWS5,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0EWS5?format=txt&versions=18,2026-09-02
A0A8D0EYY2,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0EYY2?format=txt&versions=18,2026-09-02
A0A8D0F1F5,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0F1F5?format=txt&versions=18,2026-09-02
A0A8D0F2K5,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 19; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0F2K5?format=txt&versions=19,2026-09-02
A0A8D0F4I3,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0F4I3?format=txt&versions=18,2026-09-02
A0A8D0FLP7,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 19; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0FLP7?format=txt&versions=19,2026-09-02
A0A8D0FMN0,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0FMN0?format=txt&versions=18,2026-09-02
A0A8D0KTS0,include,II,alpha,curated,IPR001003;PF00993;PTHR19944:SF86;cd05767,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0KTS0?format=txt&versions=18,2026-09-02
A0A8D2MNM1,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 20; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D2MNM1?format=txt&versions=20,2026-09-02
A0A8D2MPZ2,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 20; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D2MPZ2?format=txt&versions=20,2026-09-02
A0A8V0X573,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 19; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8V0X573?format=txt&versions=19,2026-09-02
A0A8V0X5P7,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 19; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8V0X5P7?format=txt&versions=19,2026-09-02
A0A8V0XEW4,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 19; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8V0XEW4?format=txt&versions=19,2026-09-02
A0A8B9VS73,retain_unresolved,II,unknown,unresolved,UniProtKB protein name MHC class II antigen; no chain-specific domain-family assignment,UniProtKB entry 20; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8B9VS73?format=txt&versions=20,2026-09-02
A0A8C3A5U6,include,II,alpha,curated,IPR001003;PF00993;PTHR19944:SF86,UniProtKB entry 20; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C3A5U6?format=txt&versions=20,2026-09-02
F1R0K2,include,II,alpha,curated,IPR001003;PF00993;PTHR19944:SF86,UniSave entry 93; release 2026_01/2026_01,https://rest.uniprot.org/unisave/F1R0K2?format=txt&versions=93,2026-09-02
Q5U3R9,include,II,alpha,curated,IPR001003;PF00993;PTHR19944:SF86,UniProtKB entry 134; annotation 2026-09-02,https://rest.uniprot.org/unisave/Q5U3R9?format=txt&versions=134,2026-09-02
A0A670ZT03,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 23; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A670ZT03?format=txt&versions=23,2026-09-02
A0A670ZTK7,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 23; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A670ZTK7?format=txt&versions=23,2026-09-02
A0A8C6V684,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C6V684?format=txt&versions=18,2026-09-02
A0A8C6VEE9,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C6VEE9?format=txt&versions=18,2026-09-02
A0A8C6XLU9,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 19; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C6XLU9?format=txt&versions=19,2026-09-02
A0A8C6XNA9,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C6XNA9?format=txt&versions=18,2026-09-02
A0A8D0B2J8,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 21; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0B2J8?format=txt&versions=21,2026-09-02
A0A8D0B9Y7,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 21; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0B9Y7?format=txt&versions=21,2026-09-02
A0A8D0B9Z7,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 21; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0B9Z7?format=txt&versions=21,2026-09-02
A0A8D0BP98,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 21; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0BP98?format=txt&versions=21,2026-09-02
A0A9Q0X5B9,include,II,alpha,curated,IPR001003;PF00993;PTHR19944:SF86;cd05767,UniProtKB entry 10; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A9Q0X5B9?format=txt&versions=10,2026-09-02
A0A670HMI3,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 22; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A670HMI3?format=txt&versions=22,2026-09-02
A0A670K9P4,include,II,alpha,curated,IPR001003;PF00993;PTHR19944:SF86;cd05767,UniProtKB entry 22; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A670K9P4?format=txt&versions=22,2026-09-02
A0A670ZST1,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 23; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A670ZST1?format=txt&versions=23,2026-09-02
A0A670ZSU8,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 23; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A670ZSU8?format=txt&versions=23,2026-09-02
A0A670ZTB3,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 23; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A670ZTB3?format=txt&versions=23,2026-09-02
A0A8C6VCV9,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C6VCV9?format=txt&versions=18,2026-09-02
A0A8C6X0I5,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C6X0I5?format=txt&versions=18,2026-09-02
A0A8C6XQC3,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C6XQC3?format=txt&versions=18,2026-09-02
A0A8D0BAE1,include,II,alpha,curated,IPR001003;PF00993;PTHR19944:SF86;cd05767,UniProtKB entry 21; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0BAE1?format=txt&versions=21,2026-09-02
A0A8D0BDK9,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 21; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0BDK9?format=txt&versions=21,2026-09-02
A0A8D0BW84,include,II,alpha,curated,IPR001003;PF00993;PTHR19944:SF86;cd05767,UniProtKB entry 21; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0BW84?format=txt&versions=21,2026-09-02
A0A8D0E2E0,include,II,alpha,curated,IPR001003;PF00993;PTHR19944:SF86;cd05767,UniProtKB entry 21; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0E2E0?format=txt&versions=21,2026-09-02
A0A8D0H899,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 20; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0H899?format=txt&versions=20,2026-09-02
A0A8D2IZE2,include,II,alpha,curated,IPR001003;PF00993;PTHR19944:SF86;cd05767,UniProtKB entry 19; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D2IZE2?format=txt&versions=19,2026-09-02
A0A670ZSV2,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 23; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A670ZSV2?format=txt&versions=23,2026-09-02
A0A670ZSX3,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 24; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A670ZSX3?format=txt&versions=24,2026-09-02
A0A8C6VCC2,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C6VCC2?format=txt&versions=18,2026-09-02
A0A8D0B7N9,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 21; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0B7N9?format=txt&versions=21,2026-09-02
A0A8D0B8F6,include,II,alpha,curated,IPR001003;PF00993;PTHR19944:SF86;cd05767,UniProtKB entry 21; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0B8F6?format=txt&versions=21,2026-09-02
A0A8D0DHI1,include,II,alpha,curated,IPR001003;PF00993;PTHR19944:SF86,UniProtKB entry 21; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0DHI1?format=txt&versions=21,2026-09-02
A0A670HNR0,include,II,alpha,curated,IPR001003;PF00993;PTHR19944:SF86;cd05767,UniProtKB entry 23; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A670HNR0?format=txt&versions=23,2026-09-02
A0A670ZSJ6,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 23; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A670ZSJ6?format=txt&versions=23,2026-09-02
A0A670ZSL6,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 23; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A670ZSL6?format=txt&versions=23,2026-09-02
A0A670ZT14,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 24; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A670ZT14?format=txt&versions=24,2026-09-02
A0A8C6VCU7,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C6VCU7?format=txt&versions=18,2026-09-02
A0A8D0BDE4,include,II,alpha,curated,IPR001003;PF00993;PTHR19944:SF86;cd05767,UniProtKB entry 21; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0BDE4?format=txt&versions=21,2026-09-02
A0A8D0BSD4,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 21; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0BSD4?format=txt&versions=21,2026-09-02
A0A8D0CD71,include,II,alpha,curated,IPR001003;PF00993;PTHR19944:SF86,UniProtKB entry 21; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0CD71?format=txt&versions=21,2026-09-02
A0A8D0DHH2,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 21; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0DHH2?format=txt&versions=21,2026-09-02
A0A8D2LQ07,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 19; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D2LQ07?format=txt&versions=19,2026-09-02
A0A8D2LSM6,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 19; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D2LSM6?format=txt&versions=19,2026-09-02
A0A9Q0X732,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 11; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A9Q0X732?format=txt&versions=11,2026-09-02
A0A670HN57,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 23; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A670HN57?format=txt&versions=23,2026-09-02
A0A670ZSX0,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 23; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A670ZSX0?format=txt&versions=23,2026-09-02
A0A8C6VF52,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C6VF52?format=txt&versions=18,2026-09-02
A0A8D0B8M6,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 21; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0B8M6?format=txt&versions=21,2026-09-02
A0A8D0DKF7,include,II,alpha,curated,IPR001003;PF00993;PTHR19944:SF86;cd05767,UniProtKB entry 21; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0DKF7?format=txt&versions=21,2026-09-02
A0A8D0E0F5,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 21; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0E0F5?format=txt&versions=21,2026-09-02
A0A2D4FZS7,exclude_non_mhc,,,excluded_non_mhc,PANTHER PTHR12174:SF23; peptidase A22B minor histocompatibility antigen H13,UniSave entry 23; release 2026_01/2026_01,https://rest.uniprot.org/unisave/A0A2D4FZS7?format=txt&versions=23,2026-09-02
A0A0K8RZF6,exclude_non_mhc,,,excluded_non_mhc,PANTHER PTHR12174:SF23; peptidase A22B minor histocompatibility antigen H13,UniSave entry 20; release 2026_01/2026_01,https://rest.uniprot.org/unisave/A0A0K8RZF6?format=txt&versions=20,2026-09-02
A0A0F7GY20,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 28; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A0F7GY20?format=txt&versions=28,2026-09-02
A0A0B8RUB9,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniSave entry 30; release 2026_01/2026_01,https://rest.uniprot.org/unisave/A0A0B8RUB9?format=txt&versions=30,2026-09-02
A0A0B8RQ48,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniSave entry 30; release 2026_01/2026_01,https://rest.uniprot.org/unisave/A0A0B8RQ48?format=txt&versions=30,2026-09-02
A0A0B8RR48,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniSave entry 30; release 2026_01/2026_01,https://rest.uniprot.org/unisave/A0A0B8RR48?format=txt&versions=30,2026-09-02
A0A670ZT30,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 23; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A670ZT30?format=txt&versions=23,2026-09-02
A0A670ZT95,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 23; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A670ZT95?format=txt&versions=23,2026-09-02
A0A670ZTB8,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 23; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A670ZTB8?format=txt&versions=23,2026-09-02
A0A8C6V677,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C6V677?format=txt&versions=18,2026-09-02
A0A8C6V792,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C6V792?format=txt&versions=18,2026-09-02
A0A8C6XQU5,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C6XQU5?format=txt&versions=18,2026-09-02
A0A8C6XQX2,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C6XQX2?format=txt&versions=18,2026-09-02
A0A670ZTD5,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 23; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A670ZTD5?format=txt&versions=23,2026-09-02
A0A670ZTD7,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 23; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A670ZTD7?format=txt&versions=23,2026-09-02
A0A8C6V7C5,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C6V7C5?format=txt&versions=18,2026-09-02
A0A8D2L132,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 19; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D2L132?format=txt&versions=19,2026-09-02
A0A8C6V5F5,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C6V5F5?format=txt&versions=18,2026-09-02
A0A8C5Q8J4,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 19; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C5Q8J4?format=txt&versions=19,2026-09-02
A0AA97PZC7,include,II,alpha,curated,IPR001003;PF00993;PTHR19944:SF86;cd05767,UniSave entry 7; release 2026_01/2026_01,https://rest.uniprot.org/unisave/A0AA97PZC7?format=txt&versions=7,2026-09-02
A0AAV2ZQ45,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 7; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0AAV2ZQ45?format=txt&versions=7,2026-09-02
A0AAV7R1M9,include,II,alpha,curated,IPR001003;PF00993;PTHR19944:SF86;cd05767,UniProtKB entry 6; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0AAV7R1M9?format=txt&versions=6,2026-09-02
A2VDC1,include,II,alpha,curated,IPR001003;PF00993;PTHR19944:SF86;cd05767,UniProtKB entry 73; annotation 2026-09-02,https://rest.uniprot.org/unisave/A2VDC1?format=txt&versions=73,2026-09-02
B1H1V7,include,II,alpha,curated,IPR001003;PF00993;PTHR19944:SF86;cd05767,UniProtKB entry 70; annotation 2026-09-02,https://rest.uniprot.org/unisave/B1H1V7?format=txt&versions=70,2026-09-02
Q5U4J5,include,II,alpha,curated,IPR001003;PF00993;PTHR19944:SF86;cd05767,UniProtKB entry 107; annotation 2026-09-02,https://rest.uniprot.org/unisave/Q5U4J5?format=txt&versions=107,2026-09-02
Q5U4N3,include,II,alpha,curated,IPR001003;PF00993;PTHR19944:SF86;cd05767,UniProtKB entry 89; annotation 2026-09-02,https://rest.uniprot.org/unisave/Q5U4N3?format=txt&versions=89,2026-09-02
Q6GP56,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 83; annotation 2026-09-02,https://rest.uniprot.org/unisave/Q6GP56?format=txt&versions=83,2026-09-02
Q6PF34,include,II,alpha,curated,IPR001003;PF00993;PTHR19944:SF86;cd05767,UniProtKB entry 117; annotation 2026-09-02,https://rest.uniprot.org/unisave/Q6PF34?format=txt&versions=117,2026-09-02
A0A8J6EI84,include,II,beta,curated,PTHR19944:SF65,UniProtKB entry 13; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8J6EI84?format=txt&versions=13,2026-09-02
A0A974H7W2,include,II,alpha,curated,IPR001003;PF00993;PTHR19944:SF86;cd05767,UniSave entry 13; release 2026_01/2026_01,https://rest.uniprot.org/unisave/A0A974H7W2?format=txt&versions=13,2026-09-02
A0AAV3A850,include,II,alpha,curated,IPR001003;PF00993;PTHR19944:SF86;cd05767,UniProtKB entry 6; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0AAV3A850?format=txt&versions=6,2026-09-02
A2VD94,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 75; annotation 2026-09-02,https://rest.uniprot.org/unisave/A2VD94?format=txt&versions=75,2026-09-02
B3DLL1,include,II,alpha,curated,IPR001003;PF00993;PTHR19944:SF86;cd05767,UniProtKB entry 64; annotation 2026-09-02,https://rest.uniprot.org/unisave/B3DLL1?format=txt&versions=64,2026-09-02
Q5XG55,include,II,alpha,curated,IPR001003;PF00993;PTHR19944:SF86;cd05767,UniProtKB entry 107; annotation 2026-09-02,https://rest.uniprot.org/unisave/Q5XG55?format=txt&versions=107,2026-09-02
A0A8C5Q734,include,II,beta,curated,PTHR19944:SF65,UniProtKB entry 19; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C5Q734?format=txt&versions=19,2026-09-02
A0A8C5Q9Z2,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 19; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C5Q9Z2?format=txt&versions=19,2026-09-02
A0AAV6Z5B2,include,II,alpha,curated,IPR001003;PF00993;PTHR19944:SF86;cd05767,UniProtKB entry 6; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0AAV6Z5B2?format=txt&versions=6,2026-09-02
A2VCV3,include,II,alpha,curated,IPR001003;PF00993;PTHR19944:SF86;cd05767,UniProtKB entry 73; annotation 2026-09-02,https://rest.uniprot.org/unisave/A2VCV3?format=txt&versions=73,2026-09-02
Q68F11,include,II,alpha,curated,IPR001003;PF00993;PTHR19944:SF86;cd05767,UniProtKB entry 100; annotation 2026-09-02,https://rest.uniprot.org/unisave/Q68F11?format=txt&versions=100,2026-09-02
Q6PA65,include,II,alpha,curated,IPR001003;PF00993;PTHR19944:SF86;cd05767,UniProtKB entry 106; annotation 2026-09-02,https://rest.uniprot.org/unisave/Q6PA65?format=txt&versions=106,2026-09-02
A0A2G9R3I4,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 28; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A2G9R3I4?format=txt&versions=28,2026-09-02
A0A8C5Q9Q3,include,II,alpha,curated,IPR001003;PF00993;PTHR19944:SF86;cd05767,UniProtKB entry 19; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C5Q9Q3?format=txt&versions=19,2026-09-02
A0A974H7J6,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniSave entry 14; release 2026_01/2026_01,https://rest.uniprot.org/unisave/A0A974H7J6?format=txt&versions=14,2026-09-02
A1A616,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 87; annotation 2026-09-02,https://rest.uniprot.org/unisave/A1A616?format=txt&versions=87,2026-09-02
A2BDC4,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 84; annotation 2026-09-02,https://rest.uniprot.org/unisave/A2BDC4?format=txt&versions=84,2026-09-02
Q56A59,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 87; annotation 2026-09-02,https://rest.uniprot.org/unisave/Q56A59?format=txt&versions=87,2026-09-02
Q5PPV7,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 82; annotation 2026-09-02,https://rest.uniprot.org/unisave/Q5PPV7?format=txt&versions=82,2026-09-02
A0A8C5Q944,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 19; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C5Q944?format=txt&versions=19,2026-09-02
A0A8C5Q9F2,include,II,beta,curated,PTHR19944:SF65,UniProtKB entry 19; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C5Q9F2?format=txt&versions=19,2026-09-02
A0A974C405,include,II,beta,curated,PTHR19944:SF65,UniSave entry 11; release 2026_01/2026_01,https://rest.uniprot.org/unisave/A0A974C405?format=txt&versions=11,2026-09-02
A0A974C769,include,II,alpha,curated,IPR001003;PF00993;PTHR19944:SF86;cd05767,UniSave entry 11; release 2026_01/2026_01,https://rest.uniprot.org/unisave/A0A974C769?format=txt&versions=11,2026-09-02
